ModelLayer,InterpretationScope,CampaignAcceptanceRule,ScenarioLabel,Policy,ScenarioMode,FailureTiming,SE_Disrupt,Rocket_Disrupt,SE_Triggered,Rocket_Triggered,SolverSuccess,PracticalAccepted,ConstraintOK,BuildOK,OpsOK,Viol_scaled,tau_ub_eps (yr),tau_build (yr),Time_total (yr),Cost_build ($B),Cost_ops1yr ($B),Cost_total ($B),TotalCost ($B),E_total (index),EnvPenalty,FE_launch_build,FA_launch_build,FE_launch_ops,FA_launch_ops,SE_tons_build,SE_tons_ops,Total_FE_Launches,Total_FA_Launches,Total_SE_Throughput (tons),Apex_Inventory_Peak (tons),ReturnStatus,OutputDir,TimeseriesCSV,tau_star_bisect (yr),TimingStructureName,TimingStructureKind,TimingStructureActive,ReliabilityMode,ScenarioInput,MatchedLossAreaBuild,ThetaBuild,FracBuild,Severity,RouteShareDirect,RegimeLabel
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",eta_match_se_mixed_no_disruption_reference,tau_star,mixed,relative,OFF,OFF,NO,NO,YES,YES,YES,YES,YES,9.552818258651286e-11,,8.013671875,9.013671875,79757.18175446322,1.1093257452369536,79769.15867387883,79769.15867387883,1017671279.274643,12938600451325.162,797303.0300484819,1341.9072839181913,0.08858793846339573,54.93869410759129,162415.74662790663,6772.27695515224,797407.3080810705,1419.2790015846483,169142.96028239856,156944.07963579855,Solve_Succeeded,paper_outputs,,8.013671875,no_disruption_reference,reference,NO,se,mixed,0.0,0.35,0.0,0.0,0.9982232952376211,rocket-dominant
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",eta_match_se_mixed_no_disruption_reference,cost_opt,mixed,relative,OFF,OFF,NO,NO,YES,YES,YES,YES,YES,7.770495358272456e-13,8.414355468750001,8.414355468846258,9.414355468846258,79746.55528572321,1.2529028765880033,79757.74984859531,79757.74984859531,1017581056.8668423,12320709171704.066,797173.012598661,1460.454013031065,1.3109428908674272,55.99390880182971,179782.3859562407,7721.6458586653625,797269.8880675646,1535.734159386719,185434.60448669575,132179.55902994468,Solve_Succeeded,paper_outputs,,8.013671875,no_disruption_reference,reference,NO,se,mixed,0.0,0.35,0.0,0.0,0.9980774620049552,rocket-dominant
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",eta_match_se_mixed_early_baseline_shape,tau_star,mixed,relative,ON,OFF,YES,NO,YES,YES,YES,YES,YES,9.751340013242071e-11,,8.013671875,9.013671875,79766.10852542521,1.1111778733017563,79778.09969886823,79778.09969886823,1017735421.8485775,12940227908745.102,797414.9178407202,1228.98061345019,0.10485147180104264,54.949776856172186,148516.33679246416,6788.755992833668,797519.4890795862,1305.5985835464564,155276.95475457402,143588.03720149453,Solve_Succeeded,paper_outputs,,8.013671875,early_baseline_shape,timing_only,YES,se,mixed,0.135,0.15,0.15,0.9,0.9983656014267581,rocket-dominant
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",eta_match_se_mixed_early_baseline_shape,cost_opt,mixed,relative,ON,OFF,YES,NO,YES,YES,YES,YES,YES,8.175504717655713e-13,8.414355468750001,8.414355468846939,9.414355468846939,79756.06356438895,1.2355935834496983,79767.24581593825,79767.24581593825,1017649050.9098344,12322362235852.639,797292.0467227175,1340.8858456775522,1.1623811151646144,55.87254065342524,164700.81462245595,7618.635458928264,797388.8878723892,1415.7192774803289,170572.59883601754,127278.84703871148,Solve_Succeeded,paper_outputs,,8.013671875,early_baseline_shape,timing_only,YES,se,mixed,0.135,0.15,0.15,0.9,0.9982277026636943,rocket-dominant
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",eta_match_se_mixed_mid_baseline_shape,tau_star,mixed,relative,ON,OFF,YES,NO,YES,YES,YES,YES,YES,9.838604952440433e-11,,8.013671875,9.013671875,79768.9851022266,1.1051452138915816,79780.97448144824,79780.97448144824,1017755562.4748545,12940751155872.78,797450.9782970363,1192.5644930377855,0.05544155913083731,54.895772000361525,143930.6488445177,6742.471885070791,797555.5952852343,1268.86521411714,150594.56991404263,139145.7004666356,Solve_Succeeded,paper_outputs,,8.013671875,mid_baseline_shape,timing_only,YES,se,mixed,0.135,0.35,0.15,0.9,0.9984115844257899,rocket-dominant
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",eta_match_se_mixed_mid_baseline_shape,cost_opt,mixed,relative,ON,OFF,YES,NO,YES,YES,YES,YES,YES,8.321876521222294e-13,8.414355468750001,8.414355468847182,9.414355468847182,79759.30321684075,1.2297352991906862,79770.48246432489,79770.48246432489,1017672201.1782467,12322925084375.996,797332.6289137322,1300.0215901449767,1.1119981727310502,55.83192872704329,159574.65852012002,7587.629506861475,797429.4854320249,1374.6271496506035,165512.5175361806,124126.88866378216,Solve_Succeeded,paper_outputs,,8.013671875,mid_baseline_shape,timing_only,YES,se,mixed,0.135,0.35,0.15,0.9,0.998279143624827,rocket-dominant
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",eta_match_se_mixed_late_baseline_shape,tau_star,mixed,relative,ON,OFF,YES,NO,YES,YES,YES,YES,YES,9.597669881067361e-11,,8.013671875,9.013671875,79773.84674987633,1.109411804601509,79785.84775791958,79785.84775791958,1017790739.6700561,12941637881071.008,797511.9258224705,1131.0032024177276,0.08931872288237236,54.93931316336074,136414.32373226367,6774.676184229125,797616.7412695566,1206.8922166092107,143146.52694868555,131465.14977733637,Solve_Succeeded,paper_outputs,,8.013671875,late_baseline_shape,timing_only,YES,se,mixed,0.135,0.6,0.15,0.9,0.9984891631068272,rocket-dominant
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",eta_match_se_mixed_late_baseline_shape,cost_opt,mixed,relative,ON,OFF,YES,NO,YES,YES,YES,YES,YES,8.090239589364501e-13,8.414355468750001,8.414355468846793,9.414355468846793,79764.86862012878,1.246087640226382,79776.07475487769,79776.07475487769,1017712295.3497366,12323890141225.654,797402.4402706204,1229.3412039942987,1.2507280399317684,55.954829712670076,151075.94739835017,7672.967919216449,797499.6678943011,1303.4378238558534,156835.88188383105,113410.18103837123,Solve_Succeeded,paper_outputs,,8.013671875,late_baseline_shape,timing_only,YES,se,mixed,0.135,0.6,0.15,0.9,0.9983682614470006,rocket-dominant
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",eta_match_se_mixed_mid_short_severe,tau_star,mixed,relative,ON,OFF,YES,NO,YES,YES,YES,YES,YES,9.836412934172145e-11,,8.013671875,9.013671875,79768.85880414511,1.1051944369631934,79780.84804514173,79780.84804514173,1017754660.7631958,12940728145035.598,797449.3950321212,1194.163441750105,0.05586697761188554,54.89610180802979,144128.39195753215,6742.812165635818,797554.0082477273,1270.4761059523873,150792.99983246613,139341.6380292712,Solve_Succeeded,paper_outputs,,8.013671875,mid_short_severe,clustering_variant,YES,se,mixed,0.135,0.35,0.135,1.0,0.9984095678952801,rocket-dominant
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",eta_match_se_mixed_mid_short_severe,cost_opt,mixed,relative,ON,OFF,YES,NO,YES,YES,YES,YES,YES,7.815970093361102e-13,8.414355468750001,8.414355468846335,9.414355468846335,79759.16960216092,1.2541273392981387,79770.37775047922,79770.37775047922,1017671553.6992729,12322900339108.797,797331.027987046,1301.3394210388033,1.3206625563664698,56.006652853346324,160060.14220679813,7712.106378261612,797428.1860622694,1375.8855377529821,165733.98894536766,118960.61613751666,Solve_Succeeded,paper_outputs,,8.013671875,mid_short_severe,clustering_variant,YES,se,mixed,0.135,0.35,0.135,1.0,0.9982775681964201,rocket-dominant
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",eta_match_se_mixed_mid_long_mild,tau_star,mixed,relative,ON,OFF,YES,NO,YES,YES,YES,YES,YES,9.703783609982253e-11,,8.013671875,9.013671875,79770.05970413232,1.1131494637327402,79782.05879373269,79782.05879373269,1017763918.6319749,12940948380285.242,797464.4507856517,1178.9514093141354,0.12105484992879943,54.96711035255251,142389.52353278364,6807.08675523909,797569.1711970913,1255.2188457085301,149188.43755734805,137381.48045571512,Solve_Succeeded,paper_outputs,,8.013671875,mid_long_mild,clustering_variant,YES,se,mixed,0.135,0.35,0.27,0.5,0.9984286673499776,rocket-dominant
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",eta_match_se_mixed_mid_long_mild,cost_opt,mixed,relative,ON,OFF,YES,NO,YES,YES,YES,YES,YES,8.230927051045001e-13,8.414355468750001,8.414355468847031,9.414355468847031,79760.52887657056,1.2331284159797502,79771.71409951214,79771.71409951214,1017681026.6673987,12323137530903.79,797348.0067673941,1284.4386866320629,1.1412422416756018,55.85513089969474,157704.39402407128,7606.295273180214,797444.9486834933,1358.91652902896,163602.32894090912,121648.52289993007,Solve_Succeeded,paper_outputs,,8.013671875,mid_long_mild,clustering_variant,YES,se,mixed,0.135,0.35,0.27,0.5,0.9982988107741976,rocket-dominant
