model_layer,interpretation_scope,run,outcome,solver_class,solver_status,solver_return_status,accepted_by_ipopt,viol_max,terminal_gap,feasible_flag,solver_feasible,feasible_sample,terminal_mass_ok,M_T,phaseout_t,phaseout_detected,JE,N_EM,obj_raw,requested_gamma,actual_gamma_used,gamma_fallback_used,gamma,delta_eff,goal_relax,seed,jitter,K_max_total_base,K_max_total_factor,K_max_total_sampled,L_R_base,L_R_factor,L_R_sampled,r_base,r_factor,r_sampled,C_E_base,C_E_factor,C_E_sampled,C_A_base,C_A_factor,C_A_sampled
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,0,infeasible,infeasible,Maximum_Iterations_Exceeded,Maximum_Iterations_Exceeded,True,472746.49821352307,147198697.20259696,False,False,False,True,247198697.20259696,,False,79999040554.08495,1796360.502002047,1.0180265262453354e+16,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,1.0273956048555963,551711.4398074553,125.0,0.9938878439752052,124.23598049690065,0.18,1.0358597919911383,0.1864547625584049,100000000.0,1.0197368029059364,101973680.29059364,20000000.0,0.9594177347887649,19188354.695775297
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,1,no_phaseout,ok,Solve_Succeeded,Solve_Succeeded,True,1.5284361154499493e-07,0.0,True,True,True,True,100000000.0,,False,6927853263.373287,588551.3258575366,961442977331947.6,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,1.0475622351636755,562540.9202828938,125.0,1.0261139701990354,128.2642462748794,0.18,1.0286064305276954,0.18514915749498517,100000000.0,0.9628113632675546,96281136.32675545,20000000.0,0.9950385937895567,19900771.875791136
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,2,infeasible,infeasible,Maximum_Iterations_Exceeded,Maximum_Iterations_Exceeded,True,1725831.835850485,122402.60404995084,False,False,False,True,100122402.60404995,,False,10967444780.597918,615556.6916359955,1458382867350177.0,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,0.9870798024232581,530061.8539012896,125.0,1.0426764988848602,130.33456236060752,0.18,1.0143865120080664,0.18258957216145194,100000000.0,1.032276161327083,103227616.1327083,20000000.0,0.9943414198827331,19886828.39765466
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,3,infeasible,infeasible,Restoration_Failed,Restoration_Failed,False,1.1525116860866547e-08,31087.44020177424,False,False,False,True,100031087.44020177,,False,7560149042.727251,614821.4472706948,1050364577074529.6,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,0.9727238721784777,522352.7193598425,125.0,1.0054584787015834,125.68230983769793,0.18,0.9563817256104175,0.17214871060987513,100000000.0,1.0327631171992582,103276311.71992582,20000000.0,1.0131664399122065,20263328.79824413
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,4,infeasible,infeasible,Maximum_Iterations_Exceeded,Maximum_Iterations_Exceeded,True,241668.8167906009,123652.92957186699,False,False,False,True,100123652.92957187,,False,10809311689.04848,618613.0796148322,1468100711585791.0,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,1.0258087740085373,550859.3116425845,125.0,0.9854525968129868,123.18157460162335,0.18,1.0470698024394904,0.18847256443910826,100000000.0,1.0393121121322197,103931211.21322197,20000000.0,1.0278383497073762,20556766.994147524
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,5,no_phaseout,ok,Solve_Succeeded,Solve_Succeeded,True,7.508544968004571e-07,0.0,True,True,True,True,100000000.0,,False,7702992566.565458,620604.2445296946,1065403048130054.5,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,0.9694638707851967,520602.09861165064,125.0,0.9966721003727034,124.58401254658793,0.18,0.9543803765787229,0.17178846778417012,100000000.0,0.9654289492067547,96542894.92067547,20000000.0,1.0183048953242455,20366097.90648491
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,6,infeasible,infeasible,Maximum_Iterations_Exceeded,Maximum_Iterations_Exceeded,True,185071.18177230866,123337.83629027009,False,False,False,True,100123337.83629027,,False,8843348132.007822,581957.4728572902,1208527417043456.2,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,1.0244762155907818,550143.7277722498,125.0,1.046750973243421,130.84387165542762,0.18,0.9825825358138152,0.17686485644648672,100000000.0,0.9870459706034869,98704597.06034869,20000000.0,0.9969555811275808,19939111.622551616
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,7,infeasible,infeasible,Maximum_Iterations_Exceeded,Maximum_Iterations_Exceeded,True,306773.73253630765,122551.54690122604,False,False,False,True,100122551.54690123,,False,10927117877.28701,646296.2498783965,1484640879690667.8,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,0.9689471359084285,520324.6119828261,125.0,0.9629921505335471,120.3740188166934,0.18,0.9975704926225933,0.1795626886720668,100000000.0,0.9726909349050884,97269093.49050884,20000000.0,1.016981399468251,20339627.989365023
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,8,infeasible,infeasible,Maximum_Iterations_Exceeded,Maximum_Iterations_Exceeded,True,150331.82197218077,123322.91539567709,False,False,False,True,100123322.91539568,,False,10382664294.41651,598230.0061319643,1404666546114348.8,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,0.9937151918872331,533625.0580434442,125.0,1.0332678196057838,129.15847745072298,0.18,1.0200265102002248,0.18360477183604046,100000000.0,0.9812366641382041,98123666.41382042,20000000.0,1.03322598013952,20664519.6027904
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,9,no_phaseout,ok,Solve_Succeeded,Solve_Succeeded,True,1.1149222700623795e-07,0.0,True,True,True,True,100000000.0,,False,7540606307.467403,614027.9434792608,1046946547258653.4,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,1.0304764357496803,553365.8459975783,125.0,0.9887478379030175,123.59347973787719,0.18,0.9788328103930244,0.17618990587074437,100000000.0,1.0182495503974975,101824955.03974976,20000000.0,0.963975248360931,19279504.96721862
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,10,infeasible,infeasible,Maximum_Iterations_Exceeded,Maximum_Iterations_Exceeded,True,198884.66895742886,48559.262255340815,False,False,False,True,100048559.26225534,,False,9023135875.608046,650988.0916427729,1242664112347459.2,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,0.9699908202475108,520885.0704729133,125.0,0.9507362269751005,118.84202837188757,0.18,1.0286924377502138,0.18516463879503847,100000000.0,1.0164850856592031,101648508.56592031,20000000.0,1.0205165378626335,20410330.75725267
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,11,no_phaseout,ok,Solve_Succeeded,Solve_Succeeded,True,1.3649696484208107e-07,0.0,True,True,True,True,100000000.0,,False,7443833364.348484,610075.1332560803,1030602406811849.0,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,1.028072903102197,552075.1489658797,125.0,0.995891577553834,124.48644719422924,0.18,1.0068741195952893,0.18123734152715207,100000000.0,0.9639796998127658,96397969.98127657,20000000.0,0.9614530073535973,19229060.147071946
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,12,no_phaseout,ok,Solve_Succeeded,Solve_Succeeded,True,6.734171620337293e-08,0.0,True,True,True,True,100000000.0,,False,7477139771.265029,611438.4585248554,1039041477363516.5,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,1.0168402961790473,546043.2390481484,125.0,0.9971096206143133,124.63870257678916,0.18,1.0065236106481188,0.18117424991666137,100000000.0,1.0264998857416026,102649988.57416026,20000000.0,1.013471832000059,20269436.64000118
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,13,infeasible,infeasible,Maximum_Iterations_Exceeded,Maximum_Iterations_Exceeded,True,134177.86633571674,122830.56833346188,False,False,False,True,100122830.56833346,,False,9363919509.659824,609165.7061384764,1277312103069095.0,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,1.0053579400657995,539877.2138153344,125.0,1.0059207160745414,125.74008950931767,0.18,0.9803950098062612,0.176471101765127,100000000.0,0.953081783456794,95308178.3456794,20000000.0,0.9936717389232362,19873434.778464723
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,14,infeasible,infeasible,Maximum_Iterations_Exceeded,Maximum_Iterations_Exceeded,True,428767.1278116951,188596.65631009638,False,False,False,True,100188596.6563101,,False,10681347604.152765,626892.041715783,1421792464037172.0,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,0.9714584672819528,521673.19693040865,125.0,0.9908528643724636,123.85660804655795,0.18,1.0353403073268166,0.18636125531882697,100000000.0,0.973393948586534,97339394.85865341,20000000.0,0.9558302741689065,19116605.48337813
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,15,no_phaseout,ok,Solve_Succeeded,Solve_Succeeded,True,5.722390778828412e-05,0.0,True,True,True,True,100000000.0,,False,7935913381.714312,629917.1922449138,1099267556967954.4,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,0.9781383892021996,525260.3150015812,125.0,0.9793593757766683,122.41992197208354,0.18,1.0161916514726894,0.18291449726508408,100000000.0,1.0057032152341279,100570321.5234128,20000000.0,1.0283898209106415,20567796.41821283
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,16,no_phaseout,ok,Solve_Succeeded,Solve_Succeeded,True,9.460683259021607e-08,0.0,True,True,True,True,100000000.0,,False,7577043714.297608,615509.6958739809,1048559627274417.0,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,1.0164313540327388,545823.6371155807,125.0,0.9906386861440071,123.82983576800089,0.18,1.0314020384666034,0.1856523669239886,100000000.0,0.9666972919907704,96669729.19907704,20000000.0,0.952271207313386,19045424.14626772
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,17,no_phaseout,ok,Solve_Succeeded,Solve_Succeeded,True,1.0305666364729404e-07,0.0,True,True,True,True,100000000.0,,False,7368966174.117663,606999.4305647109,1020496115074815.8,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,0.9590047860775641,514985.57012365194,125.0,1.022235935059645,127.77949188245563,0.18,0.9961877230251387,0.17931379014452495,100000000.0,0.9661271779033601,96612717.79033601,20000000.0,1.0001044775103363,20002089.550206725
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,18,no_phaseout,ok,Solve_Succeeded,Solve_Succeeded,True,4.496687324717641e-07,0.0,True,True,True,True,100000000.0,,False,7378854654.822247,607406.5629717156,1023117383828900.1,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,0.9652312102713169,518329.1599156972,125.0,1.0196320375077736,127.45400468847171,0.18,0.9946156275574031,0.17903081296033255,100000000.0,0.9881021226096482,98810212.26096483,20000000.0,0.9801512089147877,19603024.178295754
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,19,no_phaseout,ok,Solve_Succeeded,Solve_Succeeded,True,1.4319084584712982e-08,0.0,True,True,True,True,100000000.0,,False,7661675834.244237,618937.6315205044,1059959704928282.6,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,1.013028259311889,543996.1752504844,125.0,0.986181261055339,123.27265763191737,0.18,0.95876499193161,0.17257769854768978,100000000.0,0.9618005902120514,96180059.02120514,20000000.0,1.0461897664549515,20923795.32909903
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,20,no_phaseout,ok,Solve_Succeeded,Solve_Succeeded,True,4.758615477840066e-05,6.854534149169922e-07,True,True,True,True,100000000.00000069,,False,7040726519.233923,593326.4918758442,981695997701544.5,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,1.0408580690707607,558940.7830909985,125.0,1.019970713381075,127.49633917263436,0.18,0.9765869961459519,0.17578565930627132,100000000.0,1.0469176377347724,104691763.77347724,20000000.0,1.0278750903965794,20557501.807931587
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,21,infeasible,infeasible,Maximum_Iterations_Exceeded,Maximum_Iterations_Exceeded,True,307993.23968567536,5437.036890551448,False,False,False,True,100005437.03689055,,False,7959644484.261363,614965.4837816944,1054952823041673.0,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,1.0216890189158996,548647.0031578381,125.0,0.9949361502143789,124.36701877679735,0.18,0.9772241561845159,0.17590034811321284,100000000.0,0.9596390962153499,95963909.62153499,20000000.0,1.0402602396543843,20805204.793087687
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,22,infeasible,infeasible,Maximum_Iterations_Exceeded,Maximum_Iterations_Exceeded,True,324836.1156712747,121758.6475391388,False,False,False,True,100121758.64753914,,False,9224127275.406017,633479.7477660086,1266477241821704.8,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,0.9955776289833611,534625.186764065,125.0,0.970236336479523,121.27954205994038,0.18,0.9805956624150652,0.17650721923471174,100000000.0,1.0079219568941895,100792195.68941896,20000000.0,0.9676772782939231,19353545.565878462
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,23,no_phaseout,ok,Solve_Succeeded,Solve_Succeeded,True,1.9907020032405853e-08,0.0,True,True,True,True,100000000.0,,False,6982619669.158025,590873.0688209622,970609563998131.9,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,1.0356614284092376,556150.1870557605,125.0,1.025851952983521,128.23149412294012,0.18,1.0219462955950938,0.18395033320711687,100000000.0,0.9932093039775104,99320930.39775103,20000000.0,1.0127308840702443,20254617.681404885
reduced_mature_regime_diagnostic,Reduced-model outputs are mechanism-oriented diagnostics and must not be interpreted as full campaign-scale robustness evidence.,24,no_phaseout,ok,Solve_Succeeded,Solve_Succeeded,True,3.7857807910768315e-07,0.0,True,True,True,True,100000000.0,,False,7253499682.449175,602225.0278114142,1006588096952199.0,0.08,0.08,False,0.08,0.8714,0.99,42,0.05,537000.0,1.0084097968912735,541516.0609306139,125.0,1.014984660155482,126.87308251943524,0.18,0.9584444321139889,0.172519997780518,100000000.0,0.991580740217061,99158074.0217061,20000000.0,0.9541614173861892,19083228.347723786
