ModelLayer,InterpretationScope,CampaignAcceptanceRule,ScenarioLabel,Policy,ScenarioMode,FailureTiming,SE_Disrupt,Rocket_Disrupt,SE_Triggered,Rocket_Triggered,SolverSuccess,PracticalAccepted,ConstraintOK,BuildOK,OpsOK,Viol_scaled,tau_ub_eps (yr),tau_build (yr),Time_total (yr),Cost_build ($B),Cost_ops1yr ($B),Cost_total ($B),TotalCost ($B),E_total (index),EnvPenalty,FE_launch_build,FA_launch_build,FE_launch_ops,FA_launch_ops,SE_tons_build,SE_tons_ops,Total_FE_Launches,Total_FA_Launches,Total_SE_Throughput (tons),Apex_Inventory_Peak (tons),ReturnStatus,OutputDir,TimeseriesCSV,tau_star_bisect (yr),model_layer,entrypoint,case_label_input,run_mode_input
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",rocket_only_base,tau_star,rocket_only,relative,OFF,OFF,NO,NO,YES,YES,YES,YES,YES,9.926816226663027e-11,,8.013671875,9.013671875,79861.58965377769,5.452085606406702,79878.22154254545,79878.22154254545,1018447324.6674545,12957566015457.36,798615.8965377769,0.0,54.520856064067026,0.0,0.0,0.0,798782.2154254545,0.0,0.0,1.4676899956547973e-31,Solve_Succeeded,paper_outputs,paper_outputs/timeseries_rocket_only_base__tau_star.csv,8.013671875,campaign_scale,run_scenarios.py,rocket_only_base,full
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",rocket_only_base,time_opt,rocket_only,relative,OFF,OFF,NO,NO,YES,YES,YES,YES,YES,1.4210854715202004e-16,,399.9999999563532,400.9999999563532,79902.48906259112,6.004438861229913,79909.09825405935,79909.09825405935,1018841002.7392569,259661099734.48712,799024.8906259112,0.0,60.04438861229912,0.0,0.0,0.0,799090.9825405936,0.0,0.0,2.409259676556329e-32,Solve_Succeeded,paper_outputs,paper_outputs/timeseries_rocket_only_base__time_opt.csv,8.013671875,campaign_scale,run_scenarios.py,rocket_only_base,full
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",rocket_only_base,cost_opt,rocket_only,relative,OFF,OFF,NO,NO,YES,YES,YES,YES,YES,9.93480853139772e-13,8.414355468750001,8.414355468849891,9.414355468849891,79860.69463598069,5.522743092696194,79876.4194364956,79876.4194364956,1018424347.815319,12340473292327.5,798606.9463598069,0.0,55.227430926961944,0.0,0.0,0.0,798764.194364956,0.0,0.0,7.46439270675896e-33,Solve_Succeeded,paper_outputs,paper_outputs/timeseries_rocket_only_base__cost_opt.csv,8.013671875,campaign_scale,run_scenarios.py,rocket_only_base,full
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",se_only_base,tau_star,se_only,relative,OFF,OFF,NO,NO,YES,YES,YES,YES,YES,9.742118396716126e-11,,235.9093017578125,236.9093017578125,16025.202395086495,1.099593836776308,16026.305542751392,16026.305542751392,560041054.6733551,142994327997.74677,0.0,800010.1295384577,0.0,54.89550803494018,99999217.26936722,6734.704310018438,0.0,800065.2039319198,100005856.45199567,8831.34595491954,Solve_Succeeded,paper_outputs,paper_outputs/timeseries_se_only_base__tau_star.csv,235.9093017578125,campaign_scale,run_scenarios.py,se_only_base,full
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",se_only_base,time_opt,se_only,relative,OFF,OFF,NO,NO,YES,YES,YES,YES,YES,7.111483893511811e-13,,400.0000000310704,401.0000000310704,16027.309393587544,1.1186350238664646,16028.451828696363,16028.451828696363,560228899.7154802,80906234930.77753,0.0,800114.6220986329,0.0,55.83929123655455,100067806.45955221,7396.796541493885,0.0,800171.6435591063,100075830.05694118,333303.5823773216,Solve_Succeeded,paper_outputs,paper_outputs/timeseries_se_only_base__time_opt.csv,235.9093017578125,campaign_scale,run_scenarios.py,se_only_base,full
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",se_only_base,cost_opt,se_only,relative,OFF,OFF,NO,NO,YES,YES,YES,YES,YES,3.185339492173256e-11,247.70476684570315,247.70476684550394,248.70476684550394,16025.554314156223,1.1051401265975775,16026.66873816396,16026.66873816396,560078619.5862216,135383673637.27023,0.0,800027.5469560917,0.0,55.17014751222853,100013500.13755484,6948.705412026695,0.0,800083.1794780662,100020594.4105459,333243.41474296624,Solve_Succeeded,paper_outputs,paper_outputs/timeseries_se_only_base__cost_opt.csv,235.9093017578125,campaign_scale,run_scenarios.py,se_only_base,full
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",mixed_base,tau_star,mixed,relative,OFF,OFF,NO,NO,YES,YES,YES,YES,YES,9.552818258651286e-11,,8.013671875,9.013671875,79757.18175446322,1.1093257452369536,79769.15867387883,79769.15867387883,1017671279.274643,12938600451325.162,797303.0300484819,1341.9072839181913,0.08858793846339573,54.93869410759129,162415.74662790663,6772.27695515224,797407.3080810705,1419.2790015846483,169142.96028239856,156944.07963579855,Solve_Succeeded,paper_outputs,paper_outputs/timeseries_mixed_base__tau_star.csv,8.013671875,campaign_scale,run_scenarios.py,mixed_base,full
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",mixed_base,time_opt,mixed,relative,OFF,OFF,NO,NO,YES,YES,YES,YES,YES,1.2768820614155409e-12,,400.0000000069351,401.0000000069351,16567.014412759898,1.2742756955650956,16568.48499846348,16568.48499846348,563988149.7758713,80325086879.93762,6819.76773247543,793011.9403049783,1.4866738913050732,56.18539269798586,99195333.65115824,7601.809899483158,6822.888208004114,793069.761541798,99203787.30842848,333255.99737513094,Solve_Succeeded,paper_outputs,paper_outputs/timeseries_mixed_base__time_opt.csv,8.013671875,campaign_scale,run_scenarios.py,mixed_base,full
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",mixed_base,cost_opt,mixed,relative,OFF,OFF,NO,NO,YES,YES,YES,YES,YES,7.770495358272456e-13,8.414355468750001,8.414355468846258,9.414355468846258,79746.55528572321,1.2529028765880033,79757.74984859531,79757.74984859531,1017581056.8668423,12320709171704.066,797173.012598661,1460.454013031065,1.3109428908674272,55.99390880182971,179782.3859562407,7721.6458586653625,797269.8880675646,1535.734159386719,185434.60448669575,132179.55902994468,Solve_Succeeded,paper_outputs,paper_outputs/timeseries_mixed_base__cost_opt.csv,8.013671875,campaign_scale,run_scenarios.py,mixed_base,full
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",mixed_sefail,tau_star,mixed,relative,ON,OFF,YES,NO,YES,YES,YES,YES,YES,9.838604952440433e-11,,8.013671875,9.013671875,79768.9851022266,1.1051452138915816,79780.97448144824,79780.97448144824,1017755562.4748545,12940751155872.78,797450.9782970363,1192.5644930377855,0.05544155913083731,54.895772000361525,143930.6488445177,6742.471885070791,797555.5952852343,1268.86521411714,150594.56991404263,139145.7004666356,Solve_Succeeded,paper_outputs,paper_outputs/timeseries_mixed_sefail__tau_star.csv,8.013671875,campaign_scale,run_scenarios.py,mixed_sefail,full
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",mixed_sefail,time_opt,mixed,relative,ON,OFF,YES,NO,YES,YES,YES,YES,YES,1.0362434703887274e-12,,400.00000001136624,401.00000001136624,18827.28038148919,1.2735573947827687,18828.74925089501,18828.74925089501,580214798.5339681,87479231395.40944,35097.7912523547,764679.3600913128,1.4812864537518764,56.17616713305724,95656217.70984411,7621.626985744932,35100.89687643276,764737.169232199,95664714.4310134,499999.99248122046,Solve_Succeeded,paper_outputs,paper_outputs/timeseries_mixed_sefail__time_opt.csv,8.013671875,campaign_scale,run_scenarios.py,mixed_sefail,full
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",mixed_sefail,cost_opt,mixed,relative,ON,OFF,YES,NO,YES,YES,YES,YES,YES,8.321876521222294e-13,8.414355468750001,8.414355468847182,9.414355468847182,79759.30321684075,1.2297352991906862,79770.48246432489,79770.48246432489,1017672201.1782467,12322925084375.996,797332.6289137322,1300.0215901449767,1.1119981727310502,55.83192872704329,159574.65852012002,7587.629506861475,797429.4854320249,1374.6271496506035,165512.5175361806,124126.88866378216,Solve_Succeeded,paper_outputs,paper_outputs/timeseries_mixed_sefail__cost_opt.csv,8.013671875,campaign_scale,run_scenarios.py,mixed_sefail,full
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",mixed_rocketfail,tau_star,mixed,relative,OFF,ON,NO,YES,YES,YES,YES,YES,YES,9.907056772173739e-11,,8.4520263671875,9.4520263671875,83582.00583200691,1.1064821717783437,83593.85859844048,83593.85859844048,1066483338.5713665,13492020047788.836,835532.7196603409,1434.4533941332652,0.06565555342987513,54.9115624379362,179192.36832473008,6741.47070652901,835640.151222268,1489.850604490091,185856.49547709565,52668.35217283151,Solve_Succeeded,paper_outputs,paper_outputs/timeseries_mixed_rocketfail__tau_star.csv,8.4520263671875,campaign_scale,run_scenarios.py,mixed_rocketfail,full
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",mixed_rocketfail,time_opt,mixed,relative,OFF,ON,NO,YES,YES,YES,YES,YES,YES,1.1003088445377293e-12,,400.0000000129896,401.0000000129896,17070.13041888809,1.2670003357560544,17071.585791419115,17071.585791419115,579614011.2560334,86947940892.87335,7700.056154055192,813733.9304591913,1.4246168410149853,56.1321368350953,101784777.19497702,7583.65981059873,7703.047266738054,813791.6383075621,101793194.3762697,499999.9888384349,Solve_Succeeded,paper_outputs,paper_outputs/timeseries_mixed_rocketfail__time_opt.csv,8.4520263671875,campaign_scale,run_scenarios.py,mixed_rocketfail,full
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",mixed_rocketfail,cost_opt,mixed,relative,OFF,ON,NO,YES,YES,YES,YES,YES,YES,9.49427203522646e-13,8.874627685546875,8.874627685645985,9.874627685645985,82382.12889512752,1.179326038140313,82393.06578364663,82393.06578364663,1051250032.4752777,12701228303012.137,823497.449482036,1616.7247533886414,0.6795177446289737,55.47784077458914,197807.42459661572,7269.792742529877,823591.5858411711,1692.8037336777313,204499.42381470848,179629.4024021532,Solve_Succeeded,paper_outputs,paper_outputs/timeseries_mixed_rocketfail__cost_opt.csv,8.4520263671875,campaign_scale,run_scenarios.py,mixed_rocketfail,full
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",mixed_bothfail,tau_star,mixed,relative,ON,ON,YES,YES,YES,YES,YES,YES,YES,9.906652581603836e-11,,8.4520263671875,9.4520263671875,83607.98017872359,1.107421180017047,83619.83349104048,83619.83349104048,1066743150.9172902,13497487815571.324,835824.6329125629,1273.8552534838184,0.07345902361362022,54.91945729929315,159129.59817755755,6744.526679287334,835932.0722781747,1329.2406582356552,165800.23320563635,47541.46374567155,Solve_Succeeded,paper_outputs,paper_outputs/timeseries_mixed_bothfail__tau_star.csv,8.4520263671875,campaign_scale,run_scenarios.py,mixed_bothfail,full
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",mixed_bothfail,time_opt,mixed,relative,ON,ON,YES,YES,YES,YES,YES,YES,YES,2.0455304117206197e-12,,399.9999999910111,400.9999999910111,19733.469122612743,1.3476831040708381,19735.091751207798,19735.091751207798,600322879.6704609,95716791445.92459,40320.28350061207,783846.2034328223,2.1248909873151796,56.66158498448765,98066815.58036408,7849.222598270223,40324.703969710004,783905.1203496415,98075788.97587106,499999.986166936,Solve_Succeeded,paper_outputs,paper_outputs/timeseries_mixed_bothfail__time_opt.csv,8.4520263671875,campaign_scale,run_scenarios.py,mixed_bothfail,full
campaign_scale_full_model,Primary architecture-comparison claims must be drawn from the campaign-scale full model only.,"['Solve_Succeeded', 'Solved_To_Acceptable_Level']",mixed_bothfail,cost_opt,mixed,relative,ON,ON,YES,YES,YES,YES,YES,YES,YES,9.694645086710807e-13,8.874627685546875,8.874627685646338,9.874627685646338,82396.31575272382,1.1671000793892063,82407.25196166938,82407.25196166938,1051353121.2261822,12703724021242.232,823674.4643902093,1441.2672285186443,0.5754386183782736,55.38796683367206,175876.53006993796,7187.523511752761,823768.7535986924,1516.5456221456411,182757.42894193143,162878.8239368307,Solve_Succeeded,paper_outputs,paper_outputs/timeseries_mixed_bothfail__cost_opt.csv,8.4520263671875,campaign_scale,run_scenarios.py,mixed_bothfail,full
